ï»¿id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
W131001787;0131005293;48763115200039;;131S;1969-06-17;2026-07-02;1969-07-01;0001-01-01;D;S;JEUNESSE SPORTIVE PUY SAINTE REPARADE;JEUNESSE SPORTIVE PUY SAINTE REPARADE;...PRATIQUE DU FOOT BALL;011075;000000;;457;;AV;du Stade;_;13080;13610;Le Puy-Sainte-RÃ©parade;Warton Jonathan;;;457 AVENUE DU STADE;;13610;LE PUY STE REPARADE;FRANCE;PM;https://staff.footeo.com/#/articles;0;;A;2026-07-31 07:56:19
W131001794;0131004736;;;131S;1923-05-30;2025-07-23;1923-06-13;0001-01-01;D;S;ASSOCIATION SPORTIVE CHARLEVALOISE;ASSOCIATION SPORTIVE CHARLEVALOISE;. MAINTENIR ET DEVELOPPER LA PRATIQUE DU FOOT BALL;011075;000000;;8;;AV;DU 8 MAI 1945;_;13024;13350;Charleval;;;;8 AVENUE DU 8 MAI 1945;;13350;CHARLEVAL;FRANCE;PM;;0;;A;2026-01-22 19:00:02
W131001819;;;;131S;2007-01-29;2007-01-29;2007-01-29;0001-01-01;D;S;FUTSAL SALON;FUTSAL SALON;DE PRATIQUER ET DE PROMOUVOIR L ACTIVITE FUTSAL A SALON DE PROVENCE;011075;000000;BAT C;;;;JARDINS DE CRAPONNE;_;13103;13300;Salon-de-Provence;;BAT C;;JARDINS DE CRAPONNE;;13300;SALON-DE-PROVENCE;FRANCE;PM;;0;;A;2007-04-03 18:34:01
W131001902;603/29;;;131S;1929-07-20;2011-12-27;1929-08-17;0001-01-01;D;S;AVENIR SPORTIF MEYRARGUAIS;J;LA PRATIQUE DU FOOTBALL D AIDER LES JEUNES A VIVRE EN COLLECTIVITE D OPTIMISER LEURS QUALITES PHYSIQUES ET MORALES DANS LE RESPECT DES LOIS ET DES REGLEMENTS DE CE SPORT.;011075;011075;;;;;STADE NOEL VERAN;_;13059;13650;Meyrargues;;;;STADE NOEL VERAN;;13650;MEYRARGUES;FRANCE;PM;;1;;A;2012-03-08 10:55:23
W131002035;282/83;;;131S;1983-06-02;2006-10-19;1983-06-19;0001-01-01;D;S;FOOTBALL -CLUB DU CANAL DE PROVENCE;FOOTBALL -CLUB DU CANAL DE PROVENCE;LA PRATIQUE DU FOOT-BALL;011075;011075;;;;;CHATEAU DU THOLONET;_;13001;13100;Aix-en-Provence;;;;CHATEAU DU THOLONET;;13100;AIX EN PROVENCE;FRANCE;PM;;1;;A;2007-04-03 18:34:01
W131002182;0131004497;;;133P;1946-06-26;2025-04-22;1946-07-10;0001-01-01;D;S;SPORTS OLYMPIQUES DE SEPTEMES;SPORTS OLYMPIQUES DE SEPTEMES;la pratique de football association;011075;000000;STADE PIERRE BECHINI;104 bis;;AV;du 8 mai 1945;_;13106;13240;SeptÃ¨mes-les-Vallons;;STADE PIERRE BECHINI;;104 BIS  AVENUE DU 8 MAI 1945;;13240;SEPTÃˆMES-LES-VALLONS;FRANCE;PM;;0;;A;2025-10-22 18:00:02
W131002192;;;;131S;2007-04-19;2007-04-19;2007-05-12;0001-01-01;D;S;ASSOCIATION AKBETTY;ASSOCIATION AKBETTY;"dÃ©velopper toutes initiatives et procÃ©der Ã  des rÃ©alisations concrÃ¨tes par des collectes d'habits, de jouets, de livres, de fournitures scolaires (neufs ou usagers) cahiers, crayons, sacs, rÃ¨gles gommes, mÃ©dicaments, prÃ©servatifs et des numÃ©raires au profit des enfants qui sont dans le besoin urgent; sensibiliser contre le sida et ses mÃ©faits partout dans le monde et en Afrique en particulier; organiser des matchs de football avec certaines stars du ballon rond dans le but de sensibiliser et de faire adhÃ©rer le plus grand nombre Ã  cette cause";014035;011075;;3; ;;lot MontÃ©e-du-ChÃ¢teau;_;13071;13170;Les Pennes-Mirabeau;;;;3 lot  montÃ©e du chÃ¢teau;;13170;Les Pennes-Mirabeau;FRANCE;PM;;0;;A;2007-06-25 10:58:40
W131002200;;;;133P;2007-04-20;2022-10-24;2007-05-12;0001-01-01;D;S;FC SEPTEMES CONSOLAT;FC SEPTEMES CONSOLAT;"faciliter l'insertion des personnes en difficultÃ© sociale par le biais du sport et de la culture en gÃ©nÃ©ral, et plus prÃ©cisÃ©ment le football ; faciliter l'insertion des enfants en difficultÃ© scolaire grÃ¢ce Ã  du soutien scolaire pendant et hors pÃ©riodes scolaires";009015;011075;Complexe de la Martine;42; ;CHEM1;de la Martine;_;13215;13015;Marseille;;;;51 CHEMIN DE VAL TENDRE;;13600;LA CIOTAT;FRANCE;PM;;0;;A;2022-11-08 18:45:39
W131002252;;;;131S;2007-05-04;2019-02-04;2007-05-12;0001-01-01;D;S;ETOILE SPORTIVE AIXOISE (ESA);ETOILE SPORTIVE AIXOISE (ESA);pratique de sports et notamment celle du football dans le cadre du championnat football loisir aixois (FLA);011075;011005;;125 H; ;CHEM1;des Plantiers 2;_;13032;13510;Ã‰guilles;;;;125 H  CHEMIN DES PLANTIERS 2;;13510;Ã‰GUILLES;FRANCE;PM;;0;;A;2019-08-06 20:00:05
W131002288;;;;131S;2007-05-11;2007-05-11;2007-05-26;0001-01-01;D;S;"FCK
FOOTBALL CLUB KRONEMBOURG";"FCK
FOOTBALL CLUB KRONEMBOURG";pratiquer le football en loisir;011075;002000;castorama Aix les Milles;115;;RUE;de Beauvoisin;_;13001;13545;Aix-en-Provence;;castorama Aix les Milles;;115  rue de Beauvoisin;;13545;Aix-en-Provence;FRANCE;PM;;0;;A;2007-07-05 14:20:16
